title_normalized,price_quetzales,square_meters,rooms,parking,baths,location_normalized,description_normalized
casas en venta,965000,138,3,2,3,villa canales,se venden bonitas casas en altos de village kilometro 25 carretera a el salvador ambientes primer piso cuenta con sala comedor cocina bano de visitas area de jardin garaje para dos vehiculos segundo piso cuenta con habitacion principal con su closet y bano privado 2 habitaciones secundarias con su closet y bano compartido y una sala las casitas son de esquina con mucha plusvalia el residencial cuenta con poso propio casa club areas verdes juego para ninos
venta apartamento zona 10,560000,23,1,0,1,zona 10,precio de venta q 560 000 mantenimiento q 350 mensuales iusi q 217 mensuales habitacion 1 1 s s 1 parqueo de moto balcon amenidades area de lavanderia con s s de servicio sky deck juego de ninos area de churrasquera fire pit ideal para airbnb con permisos del edificio edificio fiamene tamano 23 m2 ubicacion 9 calle 1 50 zona 10 a 4 minutos de oakland mall
casa en venta el residenciales lo de valdez,1200000,320,4,3,3,san jose pinula,casa en venta residenciales a lo de valdez km 20 3 carretera a san jose pinula descripcion area de terreno 160 m2 8 m x 20 m area de construccion 320 m2 primer nivel sala comedor cocina con gabinetes 1 2 banos de visitas patio area de lavanderia techada cuarto de servicio con bano privado parqueo para 3 vehiculos 2 techados jardin frontal y trasero segundo nivel sala familiar habitacion principal con amplio walking closet y bano privado 2 habitaciones secundarias que comparten bano el condominio cuenta con garita de seguridad 24 horas y areas verdes valor de venta q1 200 000 00 negociables
vendo casa para estrenar 4 habitaciones km 14 5 carretera el salvador excelente ubicacion,1786200,256,4,2,3,santa catarina pinula,preciosas casa de 4 habitaciones en desniveles ubicadas en residenciales san diego km 14 5 carretera a el salvador santa catarina pinula en venta area de terreno 208 09 m2 = 297 81 v2 area de construccion 256 00 m2 planta baja parqueo para 2 vehiculos bano de visitas vestibulo estudio sala comedor cocina gabinetes opcionales negociables despensa lavanderia dormitorio y bano de servicio patio y jardin planta alta sala familiar amplia 3 dormitorios secundarios con closet 1 con bano y walk in closet bano secundario dormitorio principal con walk in closet y bano precio 229 000 00 impuestos condominio y amenidades excelente ubicacion antes de walmart y condado concepcion condominio a unicamente 30 metros de la carretera principal canchas deportivas tennis y futbol basketball salon social de eventos areas verdes parqueos de visitas circuito cerrado de camaras de seguridad pozo propio de agua planta de tratamiento de aguas residuales entre otros para mas informacion y citas favor dejar un mensaje con sus datos si deseas comprar vender o alquilar !llamanos en inmobiliaria vertice sera un gusto atenderte
apartamentos en venta cendana zona 9,1159541,77,2,1,2,zona 9,apartamentos en venta de 1 y 2 habitaciones cendana zona 9 descripcion de 1 habitacion nivel medio 40 m2 de construccion sala comedor cocina con gabinetes habitacion con closet bano completo 1 parqueo venta q 829 500 00 negociables de 2 habitaciones nivel alto 76 90 m2 de construccion habitacion principal con walking closet y bano privado habitacion secundaria con closet sala comedor cocina con gabinetes area de lavanderia 1 parqueo bodega venta q 1 159 541 negociables el condominio de apartamentos cuenta garita de seguridad 24 horas parqueo de visitas lobby sala de recepcion dos salones sociales coworking areas infantiles salon de yoga sala de lectura gimnasio terraza con 3 areas para churrasqueras salon de entretenimiento con mesa de ping pong futio dos salas para ver tus peliculas favoritas area para la diversion de las mascotas con regaderas para que esten siempre limpias mantenimiento q962 incluye seguridad extraccion de basura agua mantenimiento de areas verdes y comunes
apartamentos en venta 2 habitaciones kanajuyu zona 16,1693377,110,2,2,3,zona 16,?quieres agendar una cita o mas informacion? !comunicate con nosotros apartamentos de dos habitaciones en kanajuyu zona 16 ubicacion privilegiada a 5 minutos de cayala rodeada de area boscosa con acceso a colegios universidades y centros comerciales area privada desde 110 m2 sala comedor y cocina terraza habitacion principal con bano completo y wc habitacion secundaria con bano completo bano de visitas amenidades piscina gimnacio ferpit gameroom entre otros un estilo de vivienda familiar con finos acabados y amplios espacios que combinan con la tranquilidad y naturaleza del area precio de venta con impuestos incluidos desde q 1 693 377 entrega ultimo trimestre del 2025 !contactanos para mas informacion
vendo linda casa zona 16 kanajuyu 240 000,1872000,287,3,3,3,zona 16,condominio pena dorada kanajuyu zona 16 3 niveles ambientes nivel 1 construccion 287 mts2 terreno 8 5 x 21 mts parqueo para 3 vehiculos 2 techados y 1 no techado cisterna con bomba antesala 1 2 bano de visitas 2 bodegas paso de servicio nivel 2 estudio o desayunador sala comedor cocina area de lavanderia techada cuarto de servicio con bano completo o estudio con bano jardin nivel 3 sala familiar 2 dormitorios secundarios amplios 1 bano secundario completo dormitorio principal con closet y su propio bano completo precio 240 000 00
casa en venta en colonia castillo lara zona 7,1200000,185,5,2,3,zona 7,terreno de 10 x 20 la casa esta construida de block y terraza y cuenta con un apartamento en obra gris la casa cuenta con 5 habitaciones sala cocina comedor area de lavanderia 3 banos garage para 2 vehiculos precio de venta q 1 200 000 00 0207 l info te146460011 info te145417320
proyecto de casas en venta en santa catarina pinula,1206000,129,3,2,2,santa catarina pinula,proyecto de casas en venta en santa catarina pinula por el sector de la cuchilla del carmen descripcion terreno tipico 6 20 x16 15 m area de construccion 129 mts2 primer nivel 2 parqueos estudio dormitorio sala comedor bano completo cocina bodega jardin area de pila techada segundo nivel cuarto principal balcon walk in closet 2 cuartos secundarios 2 banos completos lavanderia amenidades business center salon social para eventos terraza jardin central area de pinatas al aire libre juegos de ninos area de caminamiento precios desde q1 206 000 incluyendo impuestos eb pj2472
vendo lindo apartamento villa mariscal zona 11 3 habitaciones q1 075 000,1075000,80,3,2,3,zona 11,vendo apartamento en edificio villa mariscal zona 11 precio q 1 075 000 00 3 habitaciones 1 bano sala comedor cocina abierta area de lavanderia 2 parqueos amenidades canchas deportivas area de juegos para ninos piscinas x park walking trail arcade gym lounge rooftop coworking
apartamento en venta en edificio atzul zona 21 ciudad guatemala,585000,62,3,1,1,zona 21,apartamento en venta en edificio atzul zona 21 descripcion area de construccion 62 4 m2 sala comedor cocina con gabinetes 3 habitaciones bano completo area de lavanderia con conexion para torre de lavadora y secadora y pila de concreto patio 1 parqueo techado el condominio cuenta con seguridad 24 horas parqueo de visitas area para mascotas con duchas para que puedas banarlos canchas de futbol y basketbol biblioteca salon social juegos infantiles gimnasio lavanderia comun tienda de conveniencia venta q585 000 negociables
