title,price,square_meters,rooms,parking,baths,location,img_url,url,adv_description
 Casas en venta,"['Q965,000']",138.0,3.0,2.0,3.0,Villa Canales,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/13/86/21/28138621_9ea37e,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-casas/casas-en-venta/28138621?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Se venden bonitas casas en Altos de Village kilómetro 25 carretera a El Salvador. Ambientes Primer piso. Cuenta con sala, comedor, cocina, baño de visitas, área de jardín, garaje para dos vehículos Segundo piso. Cuenta con habitación principal con su clóset y baño privado, 2 habitaciones secundarias con su clóset y baño compartido y una sala. Las casitas son de esquina con mucha plusvalía El residencial cuenta con posó propio, casa club, áreas verdes, juego para niños"
 Venta apartamento zona 10,"['Q560,000']",23.0,1.0,,1.0,Zona 10,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/62/00/47/28620047_b53ea1,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-apartamentos/venta-apartamento-zona-10/28620047?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Precio de venta: Q.560,000   Mantenimiento: Q.350 mensuales   IUSI: Q.217 mensuales   - Habitación 1   - 1 s.s. - 1 Parqueo de moto   - balcón Amenidades - Área de lavandería con s.s de servicio   - Sky deck   - Juego de niños   - Área de churrasquera   - Fire pit   Ideal para Airbnb con permisos del edificio   Edificio Fiamene   Tamaño: 23 m²   Ubicación: 9 calle 1-50, Zona 10, a 4 minutos de Oakland Mall"
 Casa en venta el Residenciales Lo de Valdez,"['Q1,200,000']",320.0,4.0,3.0,3.0,San José Pinula,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/60/47/02/28604702_cba959,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-casas/casa-en-venta-el-residenciales-lo-de-valdez/28604702?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Casa en venta Residenciales A lo de Valdez, km 20.3 Carretera a San José Pinula   Descripción:   - Área de terreno: 160 m2 (8m x 20m)  - Área de construcción: 320 m2   Primer Nivel:   - sala  - Comedor  - Cocina con gabinetes  - 1/2 baños de visitas  - Patio  - Área de lavandería techada  - Cuarto de servicio con baño privado  - Parqueo para 3 vehículos (2 techados)  - Jardín Frontal y trasero   Segundo Nivel:  - Sala familiar  - Habitación principal con amplio walking closet y baño privado  - 2 habitaciones secundarías que comparten baño   El condominio cuenta con garita de seguridad 24 horas y áreas verdes   Valor de venta: Q1,200,000.00 negociables"
 Vendo Casa para estrenar 4 habitaciones km 14.5 Carretera El Salvador excelente ubicación.,"['$229,000']",256.0,4.0,2.0,3.0,Santa Catarina Pinula,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/25/44/41/75/25444175_87b698,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-casas/vendo-casa-para-estrenar-4-habitaciones-km-14-5-carretera-el-salvador-excelente-ubicacion/25444175?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Preciosas Casa de 4 Habitaciones en desniveles, ubicadas en Residenciales San Diego, km 14.5 Carretera a El Salvador, Santa Catarina Pinula, en Venta.   Área de Terreno: 208.09 m2 = 297.81 v2  Área de Construcción: 256.00 m2   PLANTA BAJA: parqueo para 2 vehículos, baño de visitas, vestíbulo, estudio,  sala, comedor, cocina (gabinetes opcionales/negociables), despensa, lavandería, dormitorio y baño de servicio, patio y jardín.  PLANTA ALTA: sala familiar amplia, 3 dormitorios secundarios con closet (1  con baño y walk in closet), baño secundario, dormitorio principal con walk in closet y baño.   PRECIO: $229,000.00 + impuestos   CONDOMINIO Y AMENIDADES:  - Excelente ubicación (antes de Walmart y Condado Concepción)  - Condominio a únicamente 30 metros de la carretera principal.  - Canchas deportivas (tennis y fútbol / basketball)  - Salón social de eventos  - Áreas verdes  - Parqueos de visitas  - Circuito cerrado de cámaras de seguridad  - Pozo propio de agua  - Planta de tratamiento de aguas residuales, entre otros.   Para más información y citas favor dejar un mensaje con sus datos.   SI DESEAS COMPRAR, VENDER O ALQUILAR, ¡LLÁMANOS, EN INMOBILIARIA VÉRTICE SERÁ UN GUSTO ATENDERTE!"
 Apartamento en venta 3 Dormitorios VIDALI - zona 5,"['Q1,340,000']",74.0,3.0,2.0,2.0,Zona 5,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/25/73/80/13/25738013_2f1e6b,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-apartamentos/apartamento-en-venta-3-dormitorios-vidali-zona-5/25738013?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","APARTAMENTO EN VENTA VIDALI zona 5  3 Dormitorios + 2 parqueos    - 71m2 de apartamento + 3m2 de balcón  - Nivel Alto   - 3 Dormitorios  - 2 Baños Completos  - Sala  - Comedor  - Cocina / Lavandería  - 2 Parqueos  - Balcón     AMENIDADES DEL EDIFICIO Rooftop con Churrasquera, Sala de Cine, Gimnasio, Salón para Eventos con Churrasquera, Co Working , Salas de Reuniones y Área de Mascotas, Parqueo de Visita    Precio de Venta: Q1,340,000 + timbres negociables"
 Apartamentos en venta Cendana zona 9,"['Q1,159,541']",77.0,2.0,1.0,2.0,Zona 9,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/60/59/57/28605957_aff0c9,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-apartamentos/apartamentos-en-venta-cendana-zona-9/28605957?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Apartamentos en venta de 1 y 2 habitaciones, Cendana zona 9   Descripción:   De 1 habitación (Nivel medio)  - 40m2 de construcción  - Sala  - Comedor  - Cocina con gabinetes  - Habitación con closet  - Baño completo  - 1 parqueo   Venta: Q. 829,500.00 negociables   De 2 habitaciones (nivel alto)  - 76.90 m2 de construcción  - Habitación principal con walking closet y baño privado  - Habitación secundaria con closet  - Sala  - Comedor  - Cocina con gabinetes  - Área de lavandería  - 1 parqueo  - Bodega   Venta: Q. 1,159,541 negociables   El condominio de apartamentos cuenta garita de seguridad 24 horas, parqueo de visitas, lobby, sala de recepción, dos salones sociales, coworking, áreas infantiles, salón de Yoga, sala de lectura, gimnasio, terraza con 3 áreas para churrasqueras, salón de entretenimiento con mesa de Ping pong, futio, dos salas para ver tus películas favoritas, área para la diversión de las mascotas con regaderas para que estén siempre limpias!   Mantenimiento: Q962 (Incluye seguridad, extracción de basura, agua, mantenimiento de áreas verdes y comunes)."
" Apartamentos en venta, 2 Habitaciones, Kanajuyú Zona 16","['Q1,693,377']",110.0,2.0,2.0,3.0,Zona 16,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/54/75/91/28547591_91b582,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-apartamentos/apartamentos-en-venta-2-habitaciones-kanajuyu-zona-16/28547591?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","¿Quieres agendar una cita o más información? ¡Comunícate con nosotros!   Apartamentos de dos habitaciones en Kanajuyu, Zona 16.   Ubicación privilegiada a 5 minutos de Cayala, rodeada de área boscosa con acceso a colegios, universidades y centros comerciales.   Área privada: Desde 110 m2    Sala, comedor y cocina  Terraza  Habitación principal con baño completo y WC.  Habitación secundaria con baño completo  Baño de visitas.    Amenidades:   Piscina - Gimnacio - Ferpit - Gameroom - entre otros.   Un estilo de vivienda familiar con finos acabados y amplios espacios que combinan con la tranquilidad y naturaleza del area.   **Precio de venta con impuestos incluídos desde Q 1,693,377   Entrega último trimestre del 2025   ¡Contáctanos para mas información!"
" Vendo linda Casa zona 16 Kanajuyu $240,000","['$240,000']",287.0,3.0,3.0,3.0,Zona 16,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/40/18/67/28401867_2dae54,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-casas/vendo-linda-casa-zona-16-kanajuyu-240-000/28401867?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Condominio Peña Dorada, Kanajuyu, zona 16.  *3 Niveles*  Ambientes:   *Nivel 1*  Construccion: 287 Mts2  Terreno: 8.5 x 21 Mts. Parqueo para 3 vehiculos. 2 Techados y 1 no techado.  Cisterna con bomba. Antesala. 1/2 baño de visitas.  2 Bodegas. Paso de servicio.  *Nivel 2*  Estudio o Desayunador. Sala. Comedor. Cocina. Área de Lavandería Techada. Cuarto de Servicio con Baño completo o Estudio con baño. Jardín.  *Nivel 3.*  Sala Familiar.  2 Dormitorios secundarios amplios 1 Baño secundario completo. Dormitorio Principal con closet y su propio baño completo.  Precio $.240,000.00."
 CASA EN VENTA EN COLONIA CASTILLO LARA ZONA 7,"['Q1,200,000']",185.0,5.0,2.0,3.0,Zona 7,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/27/91/16/28279116_49e73b,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-casas/casa-en-venta-en-colonia-castillo-lara-zona-7/28279116?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Terreno de 10 x 20   La casa está construida de block y terraza y cuenta con un apartamento en obra gris   La casa cuenta con:  5 Habitaciones  Sala  Cocina  Comedor  Área de lavandería  3 Baños  Garage para 2 vehículos   Precio de venta Q 1,200,000.00   0207/L   Info  Te146460011   Info  Te145417320"
 OPORTUNIDAD ÚNICA: Casa céntrica en Zona 12 ideal para casa de huéspedes.,"['Q1,500,000']",,9.0,1.0,2.0,Zona 12,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/72/71/69/28727169_15ca44,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-casas/oportunidad-unica-casa-centrica-en-zona-12-ideal-para-casa-de-huespedes/28727169?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","A una cuadra del Transmetro, cerca de la universidad. Perfecta para estudiantes o casa de huéspedes.   Detalles de la casa:  2 pisos con área común y terraza +  9 habitaciones, 1 parqueo, 2 baños.  Tamaño del terreno: 10 x 20 varas   Ideal para remodelar o construir un nuevo proyecto rentable.   Zona de alta demanda por su cercanía con la universidad y el mercado.   Precio: Q1,500,000 Negociables   Cualquier consulta:"
